Jogos/IdJogo;Jogos/numero_jogo;Jogos/Jornada;Jogos/idJornada;Jogos/Fase;Jogos/idFase;Jogos/Realização;Jogos/estado_jogo;Jogos/idCompeticao;Jogos/nome_prova;Jogos/short_name;Jogos/Data;Jogos/hora;Jogos/Equipa_Casa;Jogos/Equipa_Casa_Sigla;Jogos/Equipa_Casa_Id;Jogos/Equipa_Casa_Logo;Jogos/Equipa_Fora;Jogos/Equipa_Fora_Sigla;Jogos/Equipa_Fora_Id;Jogos/Equipa_Fora_Logo;Jogos/Resultado_casa;Jogos/Resultado_fora;Jogos/id_genius_jogo;Jogos/canal_tv;Jogos/recinto_nome;Jogos/recinto_id;Jogos/localidade;Jogos/skoy_id_jogo;Jogos/transmissao/0/canal;Jogos/transmissao/0/url;Jogos/transmissao/1/canal;Jogos/transmissao/1/url;Jogos/transmissao/2/canal;Jogos/transmissao/2/url
303384;586;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-02;17:00;Ovarense GAVEX ;OVA;40598;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;Sporting CP ;SCP;40591;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;69;88;1948494;false;Arena de Ovar;9744;Ovar;0;;;;;;
303379;581;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-02;18:00;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;Lusitânia Expert ;SCL;40596;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;83;89;1948489;false;Pavilhão Municipal Capitão Adriano Nordeste;9225;Ílhavo;55;;;;;;
303383;585;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-03;15:30;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;71;41;1948493;false;Pavilhão Dragão Arena;9876;Porto;0;;;;;;
303381;583;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-03;16:00;CD Póvoa ;CDP;40600;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;Imortal LUZiGÁS ;IBC;40593;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;67;76;1948491;false;Clube Desportivo Póvoa;9153;Póvoa de Varzim;0;;;;;;
303382;584;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-03;18:00;Académica EFAPEL ;AAC;40599;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;UD Oliveirense ;UDO;40595;https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png;81;97;1948492;false;Engº Jorge Anjinho;9199;Coimbra;0;;;;;;
303380;582;1;1;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-05;15:00;SL Benfica ;SLB;40594;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;Vitória SC ;VSC;40527;https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png;96;57;1948490;false;Pavilhão Fidelidade;9526;Lisboa;0;;;;;;
303412;614;6;6;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-05;18:00;Sporting CP ;SCP;40591;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;94;74;1948522;false;Pavilhão João Rocha;10284;Lisboa;0;;;;;;
303390;592;2;2;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-09;15:00;Sporting CP ;SCP;40591;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;72;78;1948500;false;Pavilhão João Rocha;10284;Lisboa;0;;;;;;
303387;589;2;2;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-09;16:00;Imortal LUZiGÁS ;IBC;40593;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;SL Benfica ;SLB;40594;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;72;77;1948497;false;Pavilhão Desportivo de Albufeira;9889;Albufeira;0;;;;;;
303385;587;2;2;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-09;20:30;Lusitânia Expert ;SCL;40596;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;Ovarense GAVEX ;OVA;40598;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;79;77;1948495;false;Pavilhão Municipal de Angra do Heroísmo ;9197;Angra do Heroismo;0;;;;;;
303388;590;2;2;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-09;21:30;UD Oliveirense ;UDO;40595;https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png;CD Póvoa ;CDP;40600;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;88;67;1948498;false;Pavilhão Dr. Salvador Machado;9395;Oliveira de Azeméis;0;;;;;;
303386;588;2;2;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-10;15:00;Vitória SC ;VSC;40527;https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;88;62;1948496;false;Pavilhão Unidade Vimaranense;9662;Guimarães;0;;;;;;
303389;591;2;2;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-10;17:00;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;Académica EFAPEL ;AAC;40599;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;79;71;1948499;false;Pavilhão Clube Amigos do Basquete1;9192;Funchal;0;;;;;;
303396;598;3;3;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-16;17:00;Ovarense GAVEX ;OVA;40598;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;20;0;1948506;false;Arena de Ovar;9744;Ovar;0;;;;;;
303395;597;3;3;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-16;18:00;Académica EFAPEL ;AAC;40599;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;Sporting CP ;SCP;40591;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;59;98;1948505;false;Engº Jorge Anjinho;9199;Coimbra;0;;;;;;
303392;594;3;3;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-16;18:00;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;Imortal LUZiGÁS ;IBC;40593;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;74;84;1948502;false;Pavilhão Municipal Capitão Adriano Nordeste;9225;Ílhavo;0;;;;;;
303391;593;3;3;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-16;20:30;Lusitânia Expert ;SCL;40596;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;Vitória SC ;VSC;40527;https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png;80;71;1948501;false;Pavilhão Municipal de Angra do Heroísmo ;9197;Angra do Heroismo;0;;;;;;
303393;595;3;3;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-16;21:00;SL Benfica ;SLB;40594;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;UD Oliveirense ;UDO;40595;https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png;97;70;1948503;false;Pavilhão Fidelidade;9526;Lisboa;0;;;;;;
303394;596;3;3;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-17;15:30;CD Póvoa ;CDP;40600;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;56;72;1948504;false;Clube Desportivo Póvoa;9153;Póvoa de Varzim;0;;;;;;
303402;604;4;4;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-22;20:30;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;Académica EFAPEL ;AAC;40599;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;68;46;1948512;fpbtv,fpbtv;Pavilhão Dragão Arena;9876;Porto;0;fpbtv;https://www.fpbtv.pt/app/watch/4589868690?play=true;fpbtv;;;
303400;602;4;4;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-23;12:30;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;SL Benfica ;SLB;40594;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;66;84;1948510;false;Pavilhão Clube Amigos do Basquete1;9192;Funchal;0;;;;;;
303398;600;4;4;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-23;16:00;Imortal LUZiGÁS ;IBC;40593;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;Lusitânia Expert ;SCL;40596;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;87;85;1948508;false;Pavilhão Desportivo de Albufeira;9889;Albufeira;0;;;;;;
303401;603;4;4;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-23;18:00;CD Póvoa ;CDP;40600;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;Sporting CP ;SCP;40591;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;68;71;1948511;false;Clube Desportivo Póvoa;9153;Póvoa de Varzim;0;;;;;;
303399;601;4;4;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-23;21:30;UD Oliveirense ;UDO;40595;https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;79;78;1948509;false;Pavilhão Dr. Salvador Machado;9395;Oliveira de Azeméis;0;;;;;;
303397;599;4;4;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-24;18:00;Vitória SC ;VSC;40527;https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png;Ovarense GAVEX ;OVA;40598;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;81;82;1948507;false;Pavilhão Unidade Vimaranense;9662;Guimarães;0;;;;;;
303403;605;5;5;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-28;16:00;Vitória SC ;VSC;40527;https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png;Imortal LUZiGÁS ;IBC;40593;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;74;77;1948513;fpbtv;Pavilhão Unidade Vimaranense;9662;Guimarães;0;fpbtv;;;;;
303404;606;5;5;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-28;20:30;Lusitânia Expert ;SCL;40596;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;UD Oliveirense ;UDO;40595;https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png;81;74;1948514;fpbtv;Pavilhão Municipal de Angra do Heroísmo ;9197;Angra do Heroismo;0;fpbtv;;;;;
303405;607;5;5;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-28;21:00;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;69;58;1948515;fpbtv;Pavilhão Municipal Capitão Adriano Nordeste;9225;Ílhavo;0;fpbtv;;;;;
303408;610;5;5;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-28;21:00;Ovarense GAVEX ;OVA;40598;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;Académica EFAPEL ;AAC;40599;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;92;87;1948518;fpbtv;Arena de Ovar;9744;Ovar;0;fpbtv;;;;;
303407;609;5;5;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-29;20:00;CD Póvoa ;CDP;40600;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;60;67;1948517;fpbtv,abolatv;Clube Desportivo Póvoa;9153;Póvoa de Varzim;0;fpbtv;;abolatv;;;
303411;613;6;6;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-31;16:00;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;Lusitânia Expert ;SCL;40596;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;73;76;1948521;fpbtv;Pavilhão Clube Amigos do Basquete1;9192;Funchal;0;fpbtv;;;;;
303414;616;6;6;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-31;16:00;Académica EFAPEL ;AAC;40599;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;CD Póvoa ;CDP;40600;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;62;73;1948524;fpbtv;Engº Jorge Anjinho;9199;Coimbra;0;fpbtv;;;;;
303413;615;6;6;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-31;18:00;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;SL Benfica ;SLB;40594;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;81;71;1948523;fpbtv,portocanal,rtp2;Pavilhão Dragão Arena;9876;Porto;0;fpbtv;;portocanal;;rtp2;
303409;611;6;6;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-10-31;18:30;Imortal LUZiGÁS ;IBC;40593;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;Ovarense GAVEX ;OVA;40598;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;94;75;1948519;fpbtv,abolatv;Pavilhão Desportivo de Albufeira;9889;Albufeira;0;fpbtv;https://www.fpbtv.pt/app/watch/7105948107;abolatv;;;
303410;612;6;6;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-01;18:00;UD Oliveirense ;UDO;40595;https://sav2.fpb.pt/old_uploads/CLU/CLU_28_LOGO.png;Vitória SC ;VSC;40527;https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png;90;69;1948520;fpbtv;Pavilhão Dr. Salvador Machado;9395;Oliveira de Azeméis;0;fpbtv;;;;;
303419;621;7;7;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-06;17:00;SL Benfica ;SLB;40594;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;Académica EFAPEL ;AAC;40599;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;110;63;1948529;fpbtv,abolatv;Pavilhão Fidelidade;9526;Lisboa;0;fpbtv;;abolatv;;;
303418;620;7;7;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-06;18:00;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;68;73;1948528;fpbtv,rtp2;Pavilhão Municipal Capitão Adriano Nordeste;9225;Ílhavo;0;fpbtv;;rtp2;;;
303417;619;7;7;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-06;19:00;Lusitânia Expert ;SCL;40596;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;Sporting CP ;SCP;40591;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;83;89;1948527;fpbtv;Pavilhão Municipal de Angra do Heroísmo ;9197;Angra do Heroismo;0;fpbtv;;;;;
303416;618;7;7;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-07;15:00;Vitória SC ;VSC;40527;https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;76;84;1948526;fpbtv;Pavilhão Unidade Vimaranense;9662;Guimarães;0;fpbtv;;;;;
303420;622;7;7;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-07;16:00;Ovarense GAVEX ;OVA;40598;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;CD Póvoa ;CDP;40600;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;86;68;1948530;fpbtv;Arena de Ovar;9744;Ovar;0;fpbtv;;;;;
303424;626;8;8;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-12;20:30;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;Lusitânia Expert ;SCL;40596;https://sav2.fpb.pt/old_uploads/CLU/CLU_76_LOGO.png;80;56;1948535;fpbtv,portocanal;Pavilhão Dragão Arena;9876;Porto;0;fpbtv;https://www.fpbtv.pt/app/watch/5728716886;portocanal;;;
303423;625;8;8;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-13;15:00;Sporting CP ;SCP;40591;https://sav2.fpb.pt/old_uploads/CLU/CLU_169_LOGO.png;Vitória SC ;VSC;40527;https://sav2.fpb.pt/old_uploads/CLU/CLU_2300_LOGO.png;99;62;1948534;fpbtv;Pavilhão João Rocha;10284;Lisboa;0;fpbtv;https://www.fpbtv.pt/app/watch/5018673291;;;;
303422;624;8;8;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-13;16:00;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;Imortal LUZiGÁS ;IBC;40593;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;68;70;1948533;fpbtv;Pavilhão Clube Amigos do Basquete1;9192;Funchal;0;fpbtv;https://www.fpbtv.pt/app/watch/6594476524;;;;
303425;627;8;8;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-13;18:00;Académica EFAPEL ;AAC;40599;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;61;96;1948536;fpbtv;Pavilhão Estádio Universitário 1;10169;Coimbra;0;fpbtv;https://www.fpbtv.pt/app/watch/1878875841;;;;
303426;628;8;8;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-14;16:00;CD Póvoa ;CDP;40600;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;SL Benfica ;SLB;40594;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;53;76;1948537;fpbtv,rtp2;Clube Desportivo Póvoa;9153;Póvoa de Varzim;0;fpbtv;https://www.fpbtv.pt/app/;rtp2;;;
303455;657;13;13;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-11-27;17:00;Académica EFAPEL ;AAC;40599;https://sav2.fpb.pt/uploads/clubes/logotipo/Associacao_Academica_de_Coimbra1596300872.png;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;76;82;1948566;fpbtv;Engº Jorge Anjinho;9199;Coimbra;0;fpbtv;https://www.fpbtv.pt/app/watch/1363193570;;;;
303460;662;14;14;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-12-01;14:15;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;CD Póvoa ;CDP;40600;https://sav2.fpb.pt/old_uploads/CLU/CLU_118_LOGO.jpg;88;63;1948572;fpbtv;Pavilhão Clube Amigos do Basquete1;9192;Funchal;0;fpbtv;https://www.fpbtv.pt/app/watch/925779911;;;;
303433;635;10;10;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-12-04;15:00;Ovarense GAVEX ;OVA;40598;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_121663058006.png;CAB Madeira SAD ;CAB;40597;https://sav2.fpb.pt/uploads/clubes/logotipo/CLU_9871666877561.jpg;84;98;1948544;fpbtv;Arena de Ovar;9744;Ovar;0;fpbtv;https://www.fpbtv.pt/app/watch/8485147762;;;;
303435;637;10;10;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-12-04;19:00;FC Porto ;FCP;40592;https://sav2.fpb.pt/old_uploads/CLU/CLU_120_LOGO.png;Imortal LUZiGÁS ;IBC;40593;https://sav2.fpb.pt/old_uploads/CLU/CLU_2932_LOGO.png;70;62;1948546;fpbtv,portocanal;Pavilhão Dragão Arena;9876;Porto;0;fpbtv;https://www.fpbtv.pt/app/watch/1605283159;portocanal;;;
303438;640;10;10;Fase Regular;22335;Realizado;Realizado;8894;Liga BETCLIC Masculina;Liga BETCLIC Masculina;2021-12-05;15:00;SL Benfica ;SLB;40594;https://sav2.fpb.pt/old_uploads/CLU/CLU_127_LOGO.png;Illiabum Clube ;ILL;40601;https://sav2.fpb.pt/uploads/clubes/logotipo/Illiabum_Clube1602333892.png;112;72;1948549;fpbtv;Pavilhão Fidelidade;9526;Lisboa;0;fpbtv;https://www.fpbtv.pt/app/watch/1033651592;;;;
